상품코드,바코드,POS상품코드,택코드,브랜드명,제조사,AS및반품처,상품명,매입가,공급가,판매가,EA,재고,비고,일시품절,품절,단종
1768288547,8.8003E+12,,BA5SMAJP102CH4XL,워크업이천(3PL),[사입]구름과환경,워크업본사(자작창고),BJK158_CG_4XL_헌트자켓,"14,300","18,800","28,900",5,0,,일시품절,,
1768288546,8.8003E+12,,BA5SMAJP102CH3XL,워크업이천(3PL),[사입]구름과환경,워크업본사(자작창고),BJK158_CG_3XL_헌트자켓,"14,300","18,800","28,900",5,0,,일시품절,,
1768288545,8.8003E+12,,BA5SMAJP102CH2XL,워크업이천(3PL),[사입]구름과환경,워크업본사(자작창고),BJK158_CG_2XL_헌트자켓,"14,300","18,800","28,900",5,0,,일시품절,,
1768288544,8.8003E+12,,BA5SMAJP102CH0XL,워크업이천(3PL),[사입]구름과환경,워크업본사(자작창고),BJK158_CG_XL_헌트자켓,"14,300","18,800","28,900",5,0,,일시품절,,
1768288543,8.8003E+12,,BA5SMAJP102CH00L,워크업이천(3PL),[사입]구름과환경,워크업본사(자작창고),BJK158_CG_L_헌트자켓,"14,300","18,800","28,900",5,0,,일시품절,,
1768288542,8.8003E+12,,BA5SMAJP102CH00M,워크업이천(3PL),[사입]구름과환경,워크업본사(자작창고),BJK158_CG_M_헌트자켓,"14,300","18,800","28,900",5,0,,일시품절,,
1768288541,8.8003E+12,,BA5SMAJP102KH4XL,워크업이천(3PL),[사입]구름과환경,워크업본사(자작창고),BJK158_KH_4XL_헌트자켓,"14,300","18,800","28,900",5,0,,일시품절,,
1768288540,8.8003E+12,,BA5SMAJP102KH3XL,워크업이천(3PL),[사입]구름과환경,워크업본사(자작창고),BJK158_KH_3XL_헌트자켓,"14,300","18,800","28,900",5,0,,일시품절,,
1768288539,8.8003E+12,,BA5SMAJP102KH2XL,워크업이천(3PL),[사입]구름과환경,워크업본사(자작창고),BJK158_KH_2XL_헌트자켓,"14,300","18,800","28,900",5,0,,일시품절,,
1768288538,8.8003E+12,,BA5SMAJP102KH0XL,워크업이천(3PL),[사입]구름과환경,워크업본사(자작창고),BJK158_KH_XL_헌트자켓,"14,300","18,800","28,900",5,0,,일시품절,,
1768288537,8.8003E+12,,BA5SMAJP102KH00L,워크업이천(3PL),[사입]구름과환경,워크업본사(자작창고),BJK158_KH_L_헌트자켓,"14,300","18,800","28,900",5,0,,일시품절,,
1768288536,8.8003E+12,,BA5SMAJP102KH00M,워크업이천(3PL),[사입]구름과환경,워크업본사(자작창고),BJK158_KH_M_헌트자켓,"14,300","18,800","28,900",5,0,,일시품절,,
